Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
COUNTY ROAD 58: Total: 3, Poor: 0, Poor %: 0.00%
MILL CREEK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
POTTER ROAD: Total: 3, Poor: 1, Poor %: 33.33%
SERVICE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
CURTIS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
HARRIS HOLLOW RD: Total: 3, Poor: 1, Poor %: 33.33%
PEARL STREET: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 322: Total: 3, Poor: 0, Poor %: 0.00%
ALLEGHANY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 93: Total: 3, Poor: 0, Poor %: 0.00%
HARRISON STREET: Total: 3, Poor: 1, Poor %: 33.33%
KIANTONE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
RAMSEY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
90IX  (WB): Total: 3, Poor: 1, Poor %: 33.33%
PRATT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
JAMES ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR01 BREESPORT RO: Total: 3, Poor: 0, Poor %: 0.00%
BENNETT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
BREED HOLLOW ROAD: Total: 3, Poor: 1, Poor %: 33.33%
CR64 MAIN ST: Total: 3, Poor: 0, Poor %: 0.00%
CAMPGROUND ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MAIN ST: Total: 3, Poor: 0, Poor %: 0.00%
BENJAMIN ROAD: Total: 3, Poor: 2, Poor %: 66.67%
HOGSBACK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
TRACY ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 32A: Total: 3, Poor: 2, Poor %: 66.67%
EAST HILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SILVER LAKE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CAMPSITE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SALMON RIVER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FRISBEE STREET: Total: 3, Poor: 0, Poor %: 0.00%
HIGH BRIDGE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
HIGHLAND ROAD: Total: 3, Poor: 0, Poor %: 0.00%
LOOMIS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
WEST END ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BUCKWHEAT ROAD: Total: 3, Poor: 2, Poor %: 66.67%
OLD POST ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 116: Total: 3, Poor: 0, Poor %: 0.00%
TRIPOLI ROAD: Total: 3, Poor: 1, Poor %: 33.33%
ALBANY STREET: Total: 3, Poor: 0, Poor %: 0.00%
McGRAW MARATHON RD: Total: 3, Poor: 2, Poor %: 66.67%
TEXAS VALLEY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
STEVENS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 155: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 114: Total: 3, Poor: 1, Poor %: 33.33%
MILLS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
CASE HILL ROAD: Total: 3, Poor: 2, Poor %: 66.67%
CADOSIA ROAD: Total: 3, Poor: 0, Poor %: 0.00%
LANG ROAD: Total: 3, Poor: 0, Poor %: 0.00%
HARPER ROAD: Total: 3, Poor: 1, Poor %: 33.33%
WARNER HILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COVERED BRIDGE RD: Total: 3, Poor: 0, Poor %: 0.00%
FRANKLIN DEPOT RD: Total: 3, Poor: 0, Poor %: 0.00%
LEWIS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
EAST STREET: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 83: Total: 3, Poor: 0, Poor %: 0.00%
DOCK STREET: Total: 3, Poor: 2, Poor %: 66.67%
COUNTY ROAD 61: Total: 3, Poor: 1, Poor %: 33.33%
HOFFMAN ROAD: Total: 3, Poor: 1, Poor %: 33.33%
THREE ROD ROAD: Total: 3, Poor: 0, Poor %: 0.00%
BEAR RIDGE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
MAPLE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
NEW ROAD: Total: 3, Poor: 0, Poor %: 0.00%
JEWETT HOLMWOOD R: Total: 3, Poor: 0, Poor %: 0.00%
BOSTON STATE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CAIN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
ELMWOOD AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
JEFFERSON AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
MICHIGAN AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
BORDEN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GOODRICH ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SALT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
VERSAILLES PLANK: Total: 3, Poor: 0, Poor %: 0.00%
ROSS ROAD: Total: 3, Poor: 1, Poor %: 33.33%
AURORA STREET: Total: 3, Poor: 0, Poor %: 0.00%
BULLIS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
90 IX (EB): Total: 3, Poor: 0, Poor %: 0.00%
90 IX (WB): Total: 3, Poor: 0, Poor %: 0.00%
SOUTH CREEK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SAVAGE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
PAVEMENT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CLARK STREET: Total: 3, Poor: 0, Poor %: 0.00%
TOWNLINE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BURDICK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CALIFORNIA ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FREEMAN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CREEKSIDE DRIVE: Total: 3, Poor: 0, Poor %: 0.00%
SENECA STREET: Total: 3, Poor: 0, Poor %: 0.00%
RAMP D: Total: 3, Poor: 0, Poor %: 0.00%
TROUT BROOK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FOSTER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CAPE HORN ROAD: Total: 3, Poor: 1, Poor %: 33.33%
EAST PINE STREET: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 146: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 120: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY LINE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR 13: Total: 3, Poor: 0, Poor %: 0.00%
PAUL ROAD: Total: 3, Poor: 2, Poor %: 66.67%
TRANSIT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COLE ROAD: Total: 3, Poor: 2, Poor %: 66.67%
SUMNER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MALTBY ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 39: Total: 3, Poor: 0, Poor %: 0.00%
SCHOHARIE TURNPKE: Total: 3, Poor: 0, Poor %: 0.00%
SUNSIDE ROAD: Total: 3, Poor: 2, Poor %: 66.67%
MOUNTAIN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
PECK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR4 BIG BROOK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR37 DYKE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
RAILROAD STREET: Total: 3, Poor: 1, Poor %: 33.33%
CR34 NEWPORT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR4 GRAY WILMURT RD: Total: 3, Poor: 1, Poor %: 33.33%
BINGHAM MILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CANAL STREET: Total: 3, Poor: 1, Poor %: 33.33%
CR 91: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 121: Total: 3, Poor: 0, Poor %: 0.00%
781I: Total: 3, Poor: 0, Poor %: 0.00%
81I 81I73051182: Total: 3, Poor: 0, Poor %: 0.00%
14TH AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
278I278IX2M23075: Total: 3, Poor: 0, Poor %: 0.00%
278I278IX2M23085: Total: 3, Poor: 0, Poor %: 0.00%
278I278IX2M24075: Total: 3, Poor: 0, Poor %: 0.00%
65TH STREET: Total: 3, Poor: 0, Poor %: 0.00%
CENTRAL DRIVE: Total: 3, Poor: 1, Poor %: 33.33%
FIFTH AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
FLATBUSH AVENUE: Total: 3, Poor: 1, Poor %: 33.33%
GRAND STREET: Total: 3, Poor: 0, Poor %: 0.00%
HAMILTON AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
METROPOLITAN AVE: Total: 3, Poor: 1, Poor %: 33.33%
OSCEOLA ROAD: Total: 3, Poor: 0, Poor %: 0.00%
NORTON ROAD: Total: 3, Poor: 0, Poor %: 0.00%
FULTON STREET: Total: 3, Poor: 0, Poor %: 0.00%
SWEENEY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MARSHALL ROAD: Total: 3, Poor: 1, Poor %: 33.33%
LINZY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
OLMSTEAD ROAD: Total: 3, Poor: 0, Poor %: 0.00%
EDGEWOOD AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
EDGEMERE DRIVE: Total: 3, Poor: 0, Poor %: 0.00%
LOWDEN POINT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
RIDGEWAY AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
GILLETT ROAD: Total: 3, Poor: 1, Poor %: 33.33%
BURRITT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
DEAN ROAD: Total: 3, Poor: 1, Poor %: 33.33%
ATTRIDGE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
31 X: Total: 3, Poor: 0, Poor %: 0.00%
TWIN BRIDGE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CRESCENT AVENUE: Total: 3, Poor: 1, Poor %: 33.33%
FLORIDA AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
FOREST AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
495I EB TO NSP EB: Total: 3, Poor: 0, Poor %: 0.00%
BABYLON TURNPIKE: Total: 3, Poor: 0, Poor %: 0.00%
MEADOWBROOK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
BRIDGE ROAD: Total: 3, Poor: 2, Poor %: 66.67%
NEW HYDE PARK RD: Total: 3, Poor: 0, Poor %: 0.00%
WEST 33RD STREET: Total: 3, Poor: 0, Poor %: 0.00%
HARTLAND ROAD: Total: 3, Poor: 1, Poor %: 33.33%
DANIELS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
HAWKINSVILLE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR68 RIVER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
RIVER ST/ NY 922E: Total: 3, Poor: 0, Poor %: 0.00%
26  26 26052003: Total: 3, Poor: 0, Poor %: 0.00%
921CX: Total: 3, Poor: 0, Poor %: 0.00%
LELAND AVE: Total: 3, Poor: 0, Poor %: 0.00%
HILLSIDE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
TAFT ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CAUGHDENOY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
690I690I33012023: Total: 3, Poor: 2, Poor %: 66.67%
81I 81I33032042: Total: 3, Poor: 0, Poor %: 0.00%
WEST AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
FACTORY HOLLOW RD: Total: 3, Poor: 0, Poor %: 0.00%
BURLINGHAM ROAD: Total: 3, Poor: 0, Poor %: 0.00%
ULSTERVILLE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
GUYMARD TURNPIKE: Total: 3, Poor: 1, Poor %: 33.33%
SEVEN LAKES DRIVE: Total: 3, Poor: 0, Poor %: 0.00%
RYERSON ROAD: Total: 3, Poor: 0, Poor %: 0.00%
NORWAY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
CR 49: Total: 3, Poor: 1, Poor %: 33.33%
678I678IX5M12003: Total: 3, Poor: 0, Poor %: 0.00%
678IX: Total: 3, Poor: 0, Poor %: 0.00%
69TH STREET: Total: 3, Poor: 0, Poor %: 0.00%
DOUGLASTON PKWY: Total: 3, Poor: 0, Poor %: 0.00%
ELIOT AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
FOREST PARK DRIVE: Total: 3, Poor: 0, Poor %: 0.00%
FRANCIS LEWIS BVD: Total: 3, Poor: 0, Poor %: 0.00%
FROM JFK EXPRWY: Total: 3, Poor: 0, Poor %: 0.00%
GRAND AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
ROCKAWAY BLVD: Total: 3, Poor: 0, Poor %: 0.00%
WOODHAVEN BLVD: Total: 3, Poor: 0, Poor %: 0.00%
WOODSIDE AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
90I 90I14022030: Total: 3, Poor: 0, Poor %: 0.00%
DUNHAM HOLLOW RD: Total: 3, Poor: 1, Poor %: 33.33%
BURDEN LAKE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
440 440 06011015: Total: 3, Poor: 0, Poor %: 0.00%
TOMPKINS AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
987CX: Total: 3, Poor: 0, Poor %: 0.00%
NORTH SHORE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
SPIER FALLS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
NELSON AVE EXT: Total: 3, Poor: 2, Poor %: 66.67%
COUNTY RD 19A: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 115: Total: 3, Poor: 2, Poor %: 66.67%
COUNTY ROAD 126: Total: 3, Poor: 0, Poor %: 0.00%
CUNNINGHAM CRK RD: Total: 3, Poor: 1, Poor %: 33.33%
SENECA ROAD: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 123: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 100: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 124: Total: 3, Poor: 0, Poor %: 0.00%
COUNTY ROAD 129: Total: 3, Poor: 0, Poor %: 0.00%
EMERYVILLE ROAD: Total: 3, Poor: 1, Poor %: 33.33%
COUNTY ROAD 54: Total: 3, Poor: 1, Poor %: 33.33%
BUCK ROAD: Total: 3, Poor: 1, Poor %: 33.33%
GREAT NECK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
WELLWOOD AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
NICOLLS ROAD NB: Total: 3, Poor: 0, Poor %: 0.00%
NICOLLS ROAD SB: Total: 3, Poor: 0, Poor %: 0.00%
PORT JEFFERSON RD: Total: 3, Poor: 0, Poor %: 0.00%
WOODSIDE AVE: Total: 3, Poor: 0, Poor %: 0.00%
DIX HILLS ROAD: Total: 3, Poor: 0, Poor %: 0.00%
908J908J07011073: Total: 3, Poor: 0, Poor %: 0.00%
BAY SHORE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
MONTAUK HIGHWAY: Total: 3, Poor: 0, Poor %: 0.00%
NEW SUFFOLK AVE: Total: 3, Poor: 0, Poor %: 0.00%
BENTON HOLLOW RD: Total: 3, Poor: 2, Poor %: 66.67%
COUNTY ROAD 149: Total: 3, Poor: 1, Poor %: 33.33%
PINE KILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
HUNTER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
SUGAR LOAF ROAD: Total: 3, Poor: 0, Poor %: 0.00%
DEBRUCE ROAD: Total: 3, Poor: 0, Poor %: 0.00%
GASKILL ROAD: Total: 3, Poor: 0, Poor %: 0.00%
HALSEY VALLEY RD: Total: 3, Poor: 0, Poor %: 0.00%
DIAMOND VALLEY RD: Total: 3, Poor: 1, Poor %: 33.33%
CENTRAL CHAPEL RD: Total: 3, Poor: 1, Poor %: 33.33%
OLD SEVNTY SIX RD: Total: 3, Poor: 1, Poor %: 33.33%
FALL CREEK ROAD: Total: 3, Poor: 0, Poor %: 0.00%
TRUMBULL CRNRS RD: Total: 3, Poor: 0, Poor %: 0.00%
TOW PATH ROAD: Total: 3, Poor: 1, Poor %: 33.33%
FOX HOLLOW ROAD: Total: 3, Poor: 2, Poor %: 66.67%
RYDER ROAD: Total: 3, Poor: 0, Poor %: 0.00%
WEST STREET: Total: 3, Poor: 0, Poor %: 0.00%
MAMARONECK AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
9A  9A87032102: Total: 3, Poor: 0, Poor %: 0.00%
PLAYLAND PARKWAY: Total: 3, Poor: 0, Poor %: 0.00%
JFK MEMORIAL DR: Total: 3, Poor: 2, Poor %: 66.67%
ODELL AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
YONKERS AVENUE: Total: 3, Poor: 0, Poor %: 0.00%
MICHIGAN ROAD: Total: 3, Poor: 0, Poor %: 0.00%
W MIDDLEBURY ROAD: Total: 3, Poor: 0, Poor %: 0.00%
787I787I11011013: Total: 2, Poor: 0, Poor %: 0.00%
787I787I11011021: Total: 2, Poor: 0, Poor %: 0.00%
787I787I11011025: Total: 2, Poor: 0, Poor %: 0.00%
85  85 11012021: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11081000: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11081002: Total: 2, Poor: 0, Poor %: 0.00%
90I 90I11011034: Total: 2, Poor: 0, Poor %: 0.00%
90I 90I11013016: Total: 2, Poor: 0, Poor %: 0.00%
910D910D11011023: Total: 2, Poor: 0, Poor %: 0.00%
910F910F11011007: Total: 2, Poor: 1, Poor %: 50.00%
910F910F11011008: Total: 2, Poor: 0, Poor %: 0.00%
ACCESS CAMPUS RD: Total: 2, Poor: 0, Poor %: 0.00%
EM ST PLZA ARTERY: Total: 2, Poor: 0, Poor %: 0.00%
EVERETT ROAD: Total: 2, Poor: 0, Poor %: 0.00%
KRUMKILL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
NORTHERN BLVD: Total: 2, Poor: 0, Poor %: 0.00%
Washington Ave.Ex: Total: 2, Poor: 0, Poor %: 0.00%
GIFFORD HOLLOW RD: Total: 2, Poor: 0, Poor %: 0.00%
SWITZKILL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
87IX (NB): Total: 2, Poor: 0, Poor %: 0.00%
87IX (SB): Total: 2, Poor: 0, Poor %: 0.00%
BEAVER DAM ROAD: Total: 2, Poor: 0, Poor %: 0.00%
7   7 11081177: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082015: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082027: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082066: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082076: Total: 2, Poor: 0, Poor %: 0.00%
LATHAM CIRCLE: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082008: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I11082000: Total: 2, Poor: 0, Poor %: 0.00%
WESTFALL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
BOZENKILL ROAD: Total: 2, Poor: 1, Poor %: 50.00%
GAME FARM ROAD: Total: 2, Poor: 0, Poor %: 0.00%
ROWE ROAD: Total: 2, Poor: 0, Poor %: 0.00%
FOX CREEK ROAD: Total: 2, Poor: 1, Poor %: 50.00%
NILES ROAD: Total: 2, Poor: 0, Poor %: 0.00%
EMERSON ROAD: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032338: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 31A: Total: 2, Poor: 0, Poor %: 0.00%
INGRAHAM ROAD: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032151: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032157: Total: 2, Poor: 0, Poor %: 0.00%
COMMONS ROAD: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032188: Total: 2, Poor: 0, Poor %: 0.00%
OLEAN ST (CR 20): Total: 2, Poor: 2, Poor %: 100.00%
COUNTY ROAD 15B: Total: 2, Poor: 0, Poor %: 0.00%
BARTLETT ROAD: Total: 2, Poor: 0, Poor %: 0.00%
DAVIS STREET: Total: 2, Poor: 0, Poor %: 0.00%
PETERS ROAD: Total: 2, Poor: 2, Poor %: 100.00%
COUNCIL HOUSE RD: Total: 2, Poor: 1, Poor %: 50.00%
STEWART ROAD: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032001: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032004: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032015: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032017: Total: 2, Poor: 0, Poor %: 0.00%
BRISTOL STREET: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032091: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032105: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 27B: Total: 2, Poor: 0, Poor %: 0.00%
HIGGINS CREEK RD: Total: 2, Poor: 1, Poor %: 50.00%
MERWIN ROAD: Total: 2, Poor: 1, Poor %: 50.00%
FULMER VALLEY RD: Total: 2, Poor: 0, Poor %: 0.00%
BROOKSIDE ROAD: Total: 2, Poor: 0, Poor %: 0.00%
BACK RIVER ROAD: Total: 2, Poor: 0, Poor %: 0.00%
SNOWBALL HOLLOW R: Total: 2, Poor: 0, Poor %: 0.00%
DECKER RD: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032229: Total: 2, Poor: 0, Poor %: 0.00%
86I 17 61032261: Total: 2, Poor: 0, Poor %: 0.00%
GRAVES ROAD: Total: 2, Poor: 1, Poor %: 50.00%
WATSON ROAD: Total: 2, Poor: 1, Poor %: 50.00%
87I 87IX1M11024: Total: 2, Poor: 2, Poor %: 100.00%
BEDFORD PARK BLVD: Total: 2, Poor: 0, Poor %: 0.00%
BE NB SERVICE RD: Total: 2, Poor: 0, Poor %: 0.00%
BOSTON RD: Total: 2, Poor: 1, Poor %: 50.00%
BRONX BLVD N.B.: Total: 2, Poor: 0, Poor %: 0.00%
BRONX BLVD S.B.: Total: 2, Poor: 0, Poor %: 0.00%
BRYANT AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
BUS TURNAROUND: Total: 2, Poor: 0, Poor %: 0.00%
CASTLE HILL AVE: Total: 2, Poor: 0, Poor %: 0.00%
CROTONA AVENUE: Total: 2, Poor: 1, Poor %: 50.00%
DEPOT PLACE: Total: 2, Poor: 0, Poor %: 0.00%
EAGLE AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
EAST 156TH STREET: Total: 2, Poor: 0, Poor %: 0.00%
EAST 161ST STREET: Total: 2, Poor: 0, Poor %: 0.00%
EAST 180TH STREET: Total: 2, Poor: 0, Poor %: 0.00%
MONROE AVENUE: Total: 2, Poor: 1, Poor %: 50.00%
NELSON AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
ORCHARD BEACH RD: Total: 2, Poor: 0, Poor %: 0.00%
RIVER AVENUE: Total: 2, Poor: 1, Poor %: 50.00%
SOUTHERN BLVD: Total: 2, Poor: 0, Poor %: 0.00%
UNDERCLIFF AVE: Total: 2, Poor: 0, Poor %: 0.00%
WALTON AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
WEEKS AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
WEST 230TH STREET: Total: 2, Poor: 0, Poor %: 0.00%
WEST 234TH STREET: Total: 2, Poor: 0, Poor %: 0.00%
WEST FORDHAM ROAD: Total: 2, Poor: 0, Poor %: 0.00%
W KINGS BRIDGE RD: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91013085: Total: 2, Poor: 0, Poor %: 0.00%
HYDE STREET: Total: 2, Poor: 0, Poor %: 0.00%
JOYNER ROAD: Total: 2, Poor: 0, Poor %: 0.00%
434 434 91012022: Total: 2, Poor: 0, Poor %: 0.00%
7   7 91012031: Total: 2, Poor: 0, Poor %: 0.00%
7 X: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91012025: Total: 2, Poor: 0, Poor %: 0.00%
HAWLEYTON ROAD: Total: 2, Poor: 0, Poor %: 0.00%
SADDLEMIRE ROAD: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91013031: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 96: Total: 2, Poor: 0, Poor %: 0.00%
FOX ROAD: Total: 2, Poor: 1, Poor %: 50.00%
88I 88I91011019: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011024: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011037: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011040: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011076: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011091: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011099: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011107: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91011113: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 177: Total: 2, Poor: 0, Poor %: 0.00%
PIERCE CREEK RD: Total: 2, Poor: 0, Poor %: 0.00%
88I 88I91013053: Total: 2, Poor: 0, Poor %: 0.00%
CHENANGO STREET: Total: 2, Poor: 0, Poor %: 0.00%
CR193 BALLYHACK R: Total: 2, Poor: 0, Poor %: 0.00%
LESTER AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
81I  81I91011006: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011017: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011027: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011040: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011057: Total: 2, Poor: 0, Poor %: 0.00%
81I  81I91011060: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011068: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011080: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011082: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91011096: Total: 2, Poor: 0, Poor %: 0.00%
990G 990G91011005: Total: 2, Poor: 0, Poor %: 0.00%
FRANCIS STREET: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91013219: Total: 2, Poor: 0, Poor %: 0.00%
BARTELL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
CR69 AIRPORT RD: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91073222: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91073223: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91073233: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91073253: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91073262: Total: 2, Poor: 0, Poor %: 0.00%
EXIT RAMP: Total: 2, Poor: 0, Poor %: 0.00%
MELONDY HILL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
NORTH SANFORD RD: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91013169: Total: 2, Poor: 0, Poor %: 0.00%
81I 81I91013171: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91071049: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91071058: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91071073: Total: 2, Poor: 0, Poor %: 0.00%
CR 93: Total: 2, Poor: 0, Poor %: 0.00%
NEWELL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
17  17 91011046: Total: 2, Poor: 0, Poor %: 0.00%
